,Country,Exports_x,Imports_x,GDP_x,GDP Per Capita_x,Oil Production_x,Refined Petroleum Production_x,Exports_y,Imports_y,GDP_y,GDP Per Capita_y,Oil Production_y,Refined Petroleum Production_y,Net Migration,Urban Population,Obesity,Life Expectancy,Fertility,Internet,Infant Mortality,Area,Water Area,Population,Dependency Ratio,Unemployment,Literacy,Poverty,Population Growth,Military Expenditures,Health Expenditures,Education Expenditures,Industrial Growth,Electricity Production,Score
20,USA,1.0,1.0,1.0,0.433,0.9185,1.0,1.0,1.0,1.0,0.433,0.9185,1.0,0.5475,0.7572,0.8446,0.9164,0.1067,0.7782,0.021,0.5751,0.952,1.0,0.4783,0.094,0.0,0.183,0.2969,0.1549,1.0,0.0081,0.8559,1.0,21.27
14,Russia,0.1762,0.0734,0.0674,0.1887,1.0,0.3043,0.1762,0.0734,0.0674,0.1887,1.0,0.3043,0.4778,0.6524,0.6166,0.627,0.0373,0.7641,0.0311,1.0,1.0,0.4373,0.3656,0.164,1.0,0.1358,0.0,0.1242,0.3289,0.0065,0.8147,0.2591,12.46
15,Saudi Arabia,0.1395,0.07,0.0334,0.408,0.9805,0.0947,0.1395,0.07,0.0334,0.408,0.9805,0.0947,0.4082,0.7779,0.8109,0.7717,0.1707,0.7195,0.0924,0.1257,0.0,0.0835,0.4061,0.224,0.9498,0.0,0.5188,0.4486,0.1678,0.0084,0.8118,0.0712,11.02
13,Qatar,0.0439,0.0137,0.0075,1.0,0.1495,0.0144,0.0439,0.0137,0.0075,1.0,0.1495,0.0144,1.0,1.0,1.0,0.881,0.1147,0.993,0.0247,0.0006,0.0,0.0033,0.0332,0.014,0.9759,0.0,0.9215,0.0,0.0,0.0058,0.8382,0.0085,10.27
19,UAE,0.2148,0.1105,0.0192,0.5145,0.2751,0.0253,0.2148,0.1105,0.0192,0.5145,0.2751,0.0253,0.7816,0.811,0.8316,0.8424,0.2293,0.973,0.0622,0.0048,0.0,0.0146,0.0,0.048,0.9408,0.2364,0.8635,0.0,0.094,0.0,0.8118,0.0249,9.89
5,Iraq,0.0303,0.018,0.0074,0.1135,0.3955,0.0301,0.0303,0.018,0.0074,0.1135,0.3955,0.0301,0.4715,0.5903,0.487,0.7588,0.6907,0.1045,0.3111,0.0256,0.0013,0.1144,0.8801,0.32,0.7994,0.303,1.0,0.3097,0.2215,0.0,1.0,0.0154,9.59
6,Israel,0.035,0.0247,0.0158,0.2569,0.0,0.0156,0.035,0.0247,0.0158,0.2569,0.0,0.0156,0.4937,0.9021,0.6062,1.0,0.3173,0.8286,0.0,0.0012,0.0006,0.0216,0.6691,0.1,0.9809,0.2667,0.5427,0.1986,0.3758,0.0098,0.8706,0.0137,8.9
8,Kuwait,0.0297,0.0112,0.005,0.5427,0.25,0.0448,0.0297,0.0112,0.005,0.5427,0.25,0.0448,0.3608,0.9876,0.9301,0.8585,0.2587,0.8662,0.0329,0.001,0.0,0.005,0.2066,0.06,0.9659,0.0,0.5427,0.0,0.0537,0.0,0.8412,0.0146,8.75
1,Bahrain,0.0081,0.002,0.0007,0.3782,0.0049,0.0137,0.0081,0.002,0.0007,0.3782,0.0049,0.0137,0.8228,0.8566,0.8212,0.8875,0.08,1.0,0.0522,0.0,0.0,0.0005,0.1965,0.082,0.9599,0.0,0.8157,0.1495,0.1879,0.0043,0.8412,0.0061,8.58
2,Cyprus,0.0017,0.0011,0.0001,0.2537,0.0,0.0,0.0017,0.0011,0.0001,0.2537,0.0,0.0,0.712,0.5545,0.5725,0.881,0.0,0.7441,0.0421,0.0005,0.0,0.0,0.3439,0.236,0.994,0.0,0.4915,0.0748,0.349,1.0,0.8382,0.0008,8.35
4,Iran,0.0594,0.0266,0.0212,0.1261,0.322,0.097,0.0594,0.0266,0.0212,0.1261,0.322,0.097,0.4209,0.6441,0.5829,0.6463,0.096,0.4202,0.3074,0.0964,0.1618,0.2528,0.3237,0.214,0.8706,0.2267,0.4232,0.0,0.3154,0.0048,0.9265,0.0627,8.3
11,Oman,0.0206,0.0101,0.0022,0.3265,0.0958,0.008,0.0206,0.0101,0.0022,0.3265,0.0958,0.008,0.4114,0.7021,0.6244,0.7781,0.3653,0.7735,0.0887,0.0181,0.0,0.0067,0.1763,0.3,0.9137,0.0,0.7201,0.4539,0.094,0.0083,0.8382,0.0066,8.21
0,Afghanistan,0.0004,0.0015,0.0,0.0,0.0,0.0,0.0004,0.0015,0.0,0.0,0.0,0.0,0.3861,0.0,0.0,0.0,1.0,0.0,1.0,0.0381,0.0,0.0995,1.0,0.7,0.3831,0.4339,0.8191,1.0,0.4027,0.0056,0.8647,0.0,8.14
18,Turkmenistan,0.102,0.0882,0.0387,0.1496,0.0047,0.0308,0.102,0.0882,0.0387,0.1496,0.0047,0.0308,0.3861,0.6441,0.6995,0.7556,0.1493,0.5329,0.1345,0.0458,0.0193,0.245,0.461,0.196,0.9529,0.2048,0.3276,0.0748,0.2148,0.0079,0.9265,0.058,7.86
17,Syria,0.0015,0.0011,0.0003,0.007,0.0029,0.0056,0.0015,0.0011,0.0003,0.007,0.0029,0.0056,0.3576,0.4276,0.4974,0.7588,0.288,0.2547,0.107,0.0108,0.0022,0.0495,0.7543,1.0,0.8666,1.0,0.5529,0.0,0.0738,0.0084,0.7235,0.0049,7.77
3,Egypt,0.0099,0.0211,0.0175,0.0791,0.0499,0.0275,0.0099,0.0211,0.0175,0.0791,0.0499,0.0275,0.4082,0.2262,0.6554,0.6881,0.5493,0.3239,0.1482,0.0585,0.0083,0.2895,0.6431,0.262,0.7402,0.3055,0.8771,0.0627,0.2282,0.0063,0.8118,0.0392,7.74
9,Lebanon,0.002,0.0065,0.0018,0.1292,0.0,0.0,0.002,0.0065,0.0018,0.1292,0.0,0.0,0.3892,0.8428,0.7358,0.8457,0.0693,0.7711,0.0375,0.0006,0.0002,0.0156,0.4263,0.0,0.9418,0.3467,0.3106,0.1438,0.2819,0.0043,0.8353,0.0041,7.28
7,Jordan,0.0048,0.0065,0.0011,0.0713,0.0,0.0034,0.0048,0.0065,0.0011,0.0713,0.0,0.0034,0.0,0.7862,0.6658,0.7492,0.456,0.5293,0.1025,0.0052,0.0007,0.0216,0.6792,0.296,0.9569,0.1721,0.3038,0.1655,0.3557,0.0,0.8471,0.0039,7.27
10,Libya,0.0072,0.0027,0.0011,0.0955,0.0394,0.008,0.0072,0.0027,0.0011,0.0955,0.0394,0.008,0.5443,0.7159,0.7642,0.8103,0.152,0.1256,0.0695,0.1029,0.0,0.0165,0.5,0.6,0.9127,0.0,0.6348,0.0,0.1879,0.0,0.5971,0.0083,7.05
16,Sudan,0.0024,0.0026,0.0041,0.0196,0.0063,0.0044,0.0024,0.0026,0.0041,0.0196,0.0063,0.0044,0.2911,0.0979,0.1088,0.4116,0.5893,0.2148,0.4273,0.1088,0.0,0.1101,0.8699,0.272,0.7613,0.5636,0.5973,0.0,0.4161,0.0036,0.8676,0.0027,6.79
21,Yemen,0.0,0.0,0.0007,0.0039,0.0046,0.0032,0.0,0.0,0.0007,0.0039,0.0046,0.0032,0.4462,0.109,0.3057,0.4566,0.6133,0.1972,0.4016,0.0308,0.0,0.0811,0.8353,0.54,0.7031,0.6545,0.8294,0.1431,0.2282,0.0076,0.0,0.0015,6.61
12,Pakistan,0.0142,0.0157,0.0136,0.0243,0.0088,0.0118,0.0142,0.0157,0.0136,0.0243,0.0088,0.0118,0.3797,0.1669,0.0622,0.5273,0.3227,0.1138,0.4611,0.0465,0.035,0.622,0.6864,0.134,0.5807,0.2703,0.5154,0.1246,0.0268,0.0045,0.9941,0.0241,6.27
