af,0.658,7.004,18.4,2000,0,0
ba,12.09,7.974,31.82,50300,50000,272900
cy,2.635,6.042,19.93,34400,0,0
eg,14.73,50.07,342.8,12100,511600,547800
ir,87.52,62.12,412.3,18100,3300000.0,1930000.0
iz,44.67,43.27,156.3,16500,4054000.0000000005,599200
is,51.61,57.9,311.7,34800,390,309600
jo,7.124,17.86,39.45,11100,22,67760
ku,43.84,28.32,110.5,71300,2562000.0,890900
le,3.108,17.98,51.82,18500,0,0
ly,10.65,9.551,39.39,14200,404000,158300
mu,30.39,25.78,59.68,43700,982000,158600
pk,20.96,38.25,271.1,5100,90210,235300
qa,64.69,33.76,156.6,129700,1532000.0,286800
rs,259.3,165.1,1268.0,26100,10250000.0,6053000.0
sa,205.3,157.7,637.8,54100,10050000.0,1884000.0
su,3.703,9.345,94.3,4500,64770,88180
sy,2.304,5.965,24.6,2900,30000,111600
tu,150.1,197.8,735.7,21100,48510,613600
ae,316,246.9,375,67700,2820000.0,503200
us,1471.0,2205.0,18560.0,57300,9415000.0,19890000.0
ym,0.1243,3.624,31.33,2500,47600,64340
