af,652230,0,"[u'natural gas', u' petroleum', u' coal', u' copper', u' chromite', u' talc', u' barites', u' sulfur', u' lead', u' zinc', u' iron ore', u' salt', u' precious and semiprecious stones', u' arable land']","[u'damaging earthquakes occur in Hindu Kush mountains', u' flooding', u' droughts']","[u'opium', u'wheat', u'fruits', u'nuts', u'wool', u'mutton', u'sheepskins', u'lambskins', u'poppies']"
ba,760,0,"[u'oil', u' associated and nonassociated natural gas', u' fish', u' pearls']","[u'periodic droughts', u' dust storms']","[u'fruit', u'vegetables', u'poultry', u'dairy', u'products', u'shrimp', u'fish']"
cy,9251,10,"[u'copper', u' pyrites', u' asbestos', u' gypsum', u' timber', u' salt', u' marble', u' clay earth pigment']","[u'moderate earthquake activity', u' droughts']","[u'citrus', u'vegetables', u'barley', u'grapes', u'olives', u'vegetables', u'poultry', u'pork', u'lamb', u'dairy', u'cheese', u'Agriculture', u'-', u'products:', u'citrus', u'fruit', u'dairy', u'potatoes', u'grapes', u'olives', u'poultry', u'lamb']"
eg,1001450,6000,"[u'petroleum', u' natural gas', u' iron ore', u' phosphates', u' manganese', u' limestone', u' gypsum', u' talc', u' asbestos', u' lead', u' rare earth elements', u' zinc']","[u'periodic droughts', u' frequent earthquakes', u' flash floods', u' landslides', u' hot', u' driving windstorms called khamsin occur in spring', u' dust storms', u' sandstorms']","[u'cotton', u'rice', u'corn', u'wheat', u'beans', u'fruits', u'vegetables', u'cattle', u'water', u'buffalo', u'sheep', u'goats']"
ir,1648195,116600,"[u'petroleum', u' natural gas', u' coal', u' chromium', u' copper', u' iron ore', u' lead', u' manganese', u' zinc', u' sulfur']","[u'periodic droughts', u' floods', u' dust storms', u' sandstorms', u' earthquakes']","[u'wheat', u'rice', u'other', u'grains', u'sugar', u'beets', u'sugarcane', u'fruits', u'nuts', u'cotton', u'dairy', u'products', u'wool', u'caviar']"
iz,438317,950,"[u'petroleum', u' natural gas', u' phosphates', u' sulfur']","[u'dust storms', u' sandstorms', u' floods']","[u'wheat', u'barley', u'rice', u'vegetables', u'dates', u'cotton', u'cattle', u'sheep', u'poultry']"
is,20770,440,"[u'timber', u' potash', u' copper ore', u' natural gas', u' phosphate rock', u' magnesium bromide', u' clays', u' sand']","[u'sandstorms may occur during spring and summer', u' droughts', u' periodic earthquakes']","[u'citrus', u'vegetables', u'cotton', u'beef', u'poultry', u'dairy', u'products', u'citrus', u'vegetables', u'cotton', u'beef', u'poultry', u'dairy', u'products']"
jo,89342,540,"[u'phosphates', u' potash', u' shale oil']","[u'droughts', u' periodic earthquakes']","[u'citrus', u'tomatoes', u'cucumbers', u'olives', u'strawberries', u'stone', u'fruits', u'sheep', u'poultry', u'dairy']"
ku,17818,0,"[u'petroleum', u' fish', u' shrimp', u' natural gas']","[u'sudden cloudbursts are common from October to April and bring heavy rain', u' which can damage roads and houses', u' sandstorms and dust storms occur throughout the year but are most common between March and August']",[u'fish']
le,10400,170,"[u'limestone', u' iron ore', u' salt', u' water-surplus state in a water-deficit region', u' arable land']","[u'dust storms', u' sandstorms']","[u'citrus', u'grapes', u'tomatoes', u'apples', u'vegetables', u'potatoes', u'olives', u'tobacco', u'sheep', u'goats']"
ly,1759540,0,"[u'petroleum', u' natural gas', u' gypsum']","[u'hot', u' dry', u' dust-laden ghibli is a southern wind lasting one to four days in spring and fall', u' dust storms', u' sandstorms']","[u'wheat', u'barley', u'olives', u'dates', u'citrus', u'vegetables', u'peanuts', u'soybeans', u'cattle']"
mu,309500,0,"[u'petroleum', u' copper', u' asbestos', u' some marble', u' limestone', u' chromium', u' gypsum', u' natural gas']","[u'summer winds often raise large sandstorms and dust storms in interior', u' periodic droughts']","[u'dates', u'limes', u'bananas', u'alfalfa', u'vegetables', u'camels', u'cattle', u'fish']"
