Country Code,Natural Resource Index_x,Industrial Index_x,Instability Index_x,Natural Resource Index_y,Industrial Index_y,Instability Index_y,Military Expenditures,Health Expenditures,Education Expenditures,Industrial Growth,Electricity Production
af,4,0,10,0.003696858,0,-0.057142857,28.09,8.2,3.4,2.4,1
ba,1,0,0,0.728280961,0,0,4.2,5,2.6,1.6,26
cy,0,0,0,0,0,0,2.1,7.4,604,1.5,4.1
eg,25,1,14,0.02310536,0.000957854,-0.08,1.76,5.6,3.8,0.6,162
ir,82,21,19,0.075785582,0.020114943,-0.108571429,0,6.9,2.9,4.5,258
iz,98,24,24,0.090573013,0.022988506,-0.137142857,8.7,5.5,,7,64
is,2,0,36,0.001848429,0,-0.205714286,5.58,7.8,5.9,2.6,57
jo,0,6,3,0,0.005747126,-0.017142857,4.65,7.5,,1.8,17
ku,3,0,3,0.002772643,0,-0.017142857,0,3,0,1.6,61
le,0,1,7,0,0.000957854,-0.04,4.04,6.4,2.6,1.4,18
ly,-46,1,0,-0.042513863,0.000957854,0,0,5,,-6.7,35
mu,4,0,14,0.003696858,0,-0.08,12.75,3.6,5,1.5,28
pk,3,0,1,0.002772643,0,-0.005714286,3.5,2.6,2.7,6.8,100
qa,30,0,3,0.027726433,0,-0.017142857,0,2.2,3.5,1.5,36
rs,-1,886,7,-0.000924214,0.848659004,-0.04,3.49,7.1,3.9,0.7,1064
sa,0,0,1,0,0,-0.005714286,12.6,4.7,5.1,0.6,293
su,12,103,21,0.011090573,0.098659004,-0.12,0,8.4,2.2,2.5,12
sy,2,0,4,0.001848429,0,-0.022857143,0,3.3,5.1,-2.4,21
tu,7,1,0,0.006469501,0.000957854,0,2.1,5.4,4.8,4.5,239
ae,58,0,7,0.053604436,0,-0.04,0,3.6,,0.6,103
us,11,0,1,0.010166359,0,-0.005714286,4.35,17.1,4.9,2.1,4103
ym,0,0,0,0,0,0,2.4,5.6,4.6,-27,7.2
