af,"['natural gas', ' petroleum', ' coal', ' copper', ' chromite', ' talc', ' barites', ' sulfur', ' lead', ' zinc', ' iron ore', ' salt', ' precious and semiprecious stones', ' arable land']","['damaging earthquakes occur in Hindu Kush mountains', ' flooding', ' droughts']","['small-scale production of bricks', ' textiles', ' soap', ' furniture', ' shoes', ' fertilizer', ' apparel', ' food products', ' non-alcoholic beverages', ' mineral water', ' cement', ' handwoven carpets', ' natural gas', ' coal', ' copper']"
ba,"['oil', ' associated and nonassociated natural gas', ' fish', ' pearls']","['periodic droughts', ' dust storms']","['petroleum processing and refining', ' aluminum smelting', ' iron pelletization', ' fertilizers', ' Islamic and offshore banking', ' insurance', ' ship repairing', ' tourism']"
cy,"['copper', ' pyrites', ' asbestos', ' gypsum', ' timber', ' salt', ' marble', ' clay earth pigment']","['moderate earthquake activity', ' droughts']","['tourism', ' food and beverage processing', ' cement and gypsum', ' ship repair and refurbishment', ' textiles', ' light chemicals', ' metal products', ' wood', ' paper', ' stone and clay products', 'Industries: foodstuffs', ' textiles', ' clothing', ' ship repair', ' clay', ' gypsum', ' copper', ' furniture']"
eg,"['petroleum', ' natural gas', ' iron ore', ' phosphates', ' manganese', ' limestone', ' gypsum', ' talc', ' asbestos', ' lead', ' rare earth elements', ' zinc']","['periodic droughts', ' frequent earthquakes', ' flash floods', ' landslides', ' hot', ' driving windstorms called khamsin occur in spring', ' dust storms', ' sandstorms']","['textiles', ' food processing', ' tourism', ' chemicals', ' pharmaceuticals', ' hydrocarbons', ' construction', ' cement', ' metals', ' light manufactures']"
ir,"['petroleum', ' natural gas', ' coal', ' chromium', ' copper', ' iron ore', ' lead', ' manganese', ' zinc', ' sulfur']","['periodic droughts', ' floods', ' dust storms', ' sandstorms', ' earthquakes']","['petroleum', ' petrochemicals', ' gas', ' fertilizers', ' caustic soda', ' textiles', ' cement and other construction materials', ' food processing particularly sugar refining and vegetable oil production', ' ferrous and nonferrous metal fabrication', ' armaments']"
iz,"['petroleum', ' natural gas', ' phosphates', ' sulfur']","['dust storms', ' sandstorms', ' floods']","['petroleum', ' chemicals', ' textiles', ' leather', ' construction materials', ' food processing', ' fertilizer', ' metal fabrication/processing']"
is,"['timber', ' potash', ' copper ore', ' natural gas', ' phosphate rock', ' magnesium bromide', ' clays', ' sand']","['sandstorms may occur during spring and summer', ' droughts', ' periodic earthquakes']","['high-technology products including aviation', ' communications', ' computer-aided design and manufactures', ' medical electronics', ' fiber optics', ' wood and paper products', ' potash and phosphates', ' food', ' beverages', ' and tobacco', ' caustic soda', ' cement', ' construction', ' met', 'high-technology products including aviation', ' communications', ' computer-aided design and manufactures', ' medical electronics', ' fiber optics', ' wood and paper products', ' potash and phosphates', ' food', ' beverages', ' and tobacco', ' caustic soda', ' cement', ' construction', ' met']"
jo,"['phosphates', ' potash', ' shale oil']","['droughts', ' periodic earthquakes']","['tourism', ' information technology', ' clothing', ' fertilizers', ' potash', ' phosphate mining', ' pharmaceuticals', ' petroleum refining', ' cement', ' inorganic chemicals', ' light manufacturing']"
ku,"['petroleum', ' fish', ' shrimp', ' natural gas']","['sudden cloudbursts are common from October to April and bring heavy rain', ' which can damage roads and houses', ' sandstorms and dust storms occur throughout the year but are most common between March and August']","['petroleum', ' petrochemicals', ' cement', ' shipbuilding and repair', ' water desalination', ' food processing', ' construction materials']"
le,"['limestone', ' iron ore', ' salt', ' water-surplus state in a water-deficit region', ' arable land']","['dust storms', ' sandstorms']","['banking', ' tourism', ' food processing', ' wine', ' jewelry', ' cement', ' textiles', ' mineral and chemical products', ' wood and furniture products', ' oil refining', ' metal fabricating']"
ly,"['petroleum', ' natural gas', ' gypsum']","['hot', ' dry', ' dust-laden ghibli is a southern wind lasting one to four days in spring and fall', ' dust storms', ' sandstorms']","['petroleum', ' petrochemicals', ' aluminum', ' iron and steel', ' food processing', ' textiles', ' handicrafts', ' cement']"
mu,"['petroleum', ' copper', ' asbestos', ' some marble', ' limestone', ' chromium', ' gypsum', ' natural gas']","['summer winds often raise large sandstorms and dust storms in interior', ' periodic droughts']","['crude oil production and refining', ' natural and liquefied natural gas LNG production', ' construction', ' cement', ' copper', ' steel', ' chemicals', ' optic fiber']"
pk,"['arable land', ' extensive natural gas reserves', ' limited petroleum', ' poor quality coal', ' iron ore', ' copper', ' salt', ' limestone']","['frequent earthquakes', ' occasionally severe especially in north and west', ' flooding along the Indus after heavy rains July and August']","['textiles and apparel', ' food processing', ' pharmaceuticals', ' construction materials', ' paper products', ' fertilizer', ' shrimp']"
qa,"['petroleum', ' natural gas', ' fish']","['haze', ' dust storms', ' sandstorms common']","['liquefied natural gas', ' crude oil production and refining', ' ammonia', ' fertilizers', ' petrochemicals', ' steel reinforcing bars', ' cement', ' commercial ship repair']"
